Censored  130 of 3288 total time points :   4.0%

Censored    7 of 3288 total time points :   0.2%

Censored  216 of 3288 total time points :   6.6%

Censored   17 of 3288 total time points :   0.5%

Censored    4 of 3288 total time points :   0.1%

Censored   51 of 3288 total time points :   1.6%

Censored   89 of 3288 total time points :   2.7%

Censored   41 of 3288 total time points :   1.2%

Censored   19 of 3288 total time points :   0.6%

Censored   59 of 3288 total time points :   1.8%

Censored   29 of 3288 total time points :   0.9%

Censored   12 of 3288 total time points :   0.4%

Censored   12 of 3288 total time points :   0.4%

Censored    3 of 3288 total time points :   0.1%

Censored   10 of 3288 total time points :   0.3%

Censored    5 of 3288 total time points :   0.2%

Censored   32 of 3288 total time points :   1.0%

Censored    3 of 3288 total time points :   0.1%

Censored   14 of 3288 total time points :   0.4%

Censored   64 of 3288 total time points :   1.9%

Censored   12 of 3288 total time points :   0.4%

Censored   57 of 3288 total time points :   1.7%

Censored    1 of 3288 total time points :   0.0%

Censored   25 of 3288 total time points :   0.8%

Censored    4 of 3288 total time points :   0.1%

Censored    6 of 3288 total time points :   0.2%

Censored   10 of 3288 total time points :   0.3%

Censored  232 of 3288 total time points :   7.1%

Censored  321 of 3288 total time points :   9.8%

Censored    6 of 3288 total time points :   0.2%

Censored  108 of 3288 total time points :   3.3%

Censored  172 of 3288 total time points :   5.2%

Censored  197 of 3288 total time points :   6.0%

Censored   36 of 3288 total time points :   1.1%

Censored   11 of 3288 total time points :   0.3%

Censored   58 of 3288 total time points :   1.8%

Censored   56 of 3288 total time points :   1.7%

Censored  124 of 3288 total time points :   3.8%

Censored  216 of 3288 total time points :   6.6%

Censored   87 of 3288 total time points :   2.6%

Censored   39 of 3288 total time points :   1.2%

Censored   55 of 3288 total time points :   1.7%

Censored  122 of 3288 total time points :   3.7%

Censored  100 of 3288 total time points :   3.0%

Censored    3 of 3288 total time points :   0.1%

